id,example,Label
0,We returned the jewelry box because it seemed more like a travel jewelry box and not the type that we were looking for. It was nice and of good quality. Also found out my granddaughter hates pink! Who knew!,negative
1,"This is my favorite kind of book -- one that holds me rapt with a fast-paced, entertaining story while also indulging my love of language with beautiful, lyrical passages and vivid, memorable imagery. The Deeper, The Bluer celebrates the everyday heroism of single mothers and made me proud to be both a mother and a woman. I couldn't put this wonderful book down and ended up reading it in one sitting! My recommendation? Buy it and keep it. This author is going to be big, big, big -- and when that happens you'll have a first edition of her first book",positive
2,"I've had an older model RM65 that I picked up second hand for about a year. I use it for my job, which involves recording spoken word. I have been craving a mic/instrument mixer that is only one rack space and phantom power that's selectable per channel so I can use a variety of mics. This has it all. It's incredibly compact, has pots for monitor, bass, treb, pan, fx send. Has trim pots on back. The enclosure is nice and sturdy. My only complaint is that the older model that I have did not have a headphone monitor. This has been remedied I hear in recent models.This unit is great for this price point. If you want some kind of a very rough thumbnail of how it stacks up, I think it compares very favorably to similar Behringer equipment.",positive
3,i accidently ordered twice and couldn't cancel one of the orders. now i have 720 pills that will no longer be fresh after one year. very upset about the service!!!,negative
4,"Classic. Raw. Emotional. Intuitive colours. Greek myths. Awesome perfect card size. The companion book is beyond fascinating. Jam-packed with wonderful knowledge, tips and tricks to learn to read and become one with the cards. Great myths chosen for each minor suit.This is THE best deck for a complete beginner. One can easily and joyfully learn and slowly uncover the magic of Tarot with this incomparable deck and book. It brings tarot, her stories, her myths, her fairytales.....alive and deeply into your life & heart.There to stay for good.",positive
5,"I've bought several of these wireless headphones because I enjoy walking around and/or lying in bed while listening to TV. Compared to other headphones, the sound quality is fine. But the reason I keep buying them is because they break too easily. I call it my quarterly tax for listening in comfort.",negative
6,"A nice looking mousepad, good and thick. The image is clear and looks great! I'm quite pleased with it!",positive
7,"Another great band from when bands were at their best, the 60s & 70s produced the Very BEST!!! The Band: MOODY BLUES produced the best listening music. You could be laying around your place drinking your wine and just listening or even without the wine, it was a pleasure to listen to.",positive
8,"When I ordered this CD as a gift for my father, the Amazon.com page advertised this CD as a CDG....a CD with GRAPHICS. Upon opening the gift, the outside cover indeed said CDG, however, the inner sleeve said that ""due to copyright laws, lyrics could not be printed"". We assumed that since this was a CDG, the lyrics would be on the screen while the music was playing, but it was not. I wish that either the producers of the CD or AMAZON.COM would show more discretion on the items they label as CDG.",negative
9,"Please if you love the Brothers Johnson DO NOT BUY THIS. Absolutely one of the worst recordings I've seen and heard. It sounds like it is straight from the board with no mixing. Louis is so low in the mix, just a shame. Half of the band is just kinda on the smooth jazz or gospel chops tip... horrible. God I love the Brothers Johnson, a huge fan, but this is well... lol... HORRIBLE.",negative
10,"I bought this series for my adultndaughter. I curse that day! The quality is great for the product but what a horrible bunch of people! Like the Simpsons created a lazy bunch who were proud of their lack of ambition, this series creates a bunch of irresponsible parents who believe domestic violence is a way of life.",negative
11,"""If you have produced a low-budget independent movie and want to apply for a job with any Hollywood Production Company, this is the book that you MUST read before you go in for the interview. It explains the way that Hollywood Motion Picture Productions are managed."" -- RMS",positive
12,"I came in late to this show, because I was watching another show at the same time. But while that show went on break I decided to give Raising Hope a try, and became instantly addicted. It's just hilarious and heart warming at the same time. What really surprises me is that more people aren't watching or are not aware of the show. Oh, well they are missing out because this show is a true gem. Can't wait until the dvd hit shelves, so I can can share it with some more friends!",positive
13,"As a Muslim, I was amazed by the deep analysis and the thorough knowledge of Armstrong. It like when someone understands you more than yourself. It inspires me and it's no doubt one of the greatest books I've ever read. Thanks to Kiran Armstrong. I recommend this book to everybody",positive
14,"If you've read the author's Seat of the Soul, which is an excellent book, you won't learn anything new.",negative
15,"keyboard works, however, mouse is not recognized. I purchased 5 and all five of them have the same problem. Software does recognize a usb compliance mouse device, however, mouse click/movement does not register at all.fake advertising about how it would work on kvm. it does NOT.Got TRENDnet USB to PS/2 Converter TU-PS2 (White) instead, works wonderfully.",negative
16,"Bought the steam mop for a friend of mine & in her words, ""I looooooooooooove it!"" She said cleaning her floor has become a breeze now, no streaking or dull looking floors.Due to some physical problems, she said it also is much easier for her to use than the previous way she was cleaning her floors.Turned out to be a great purchase.",positive
17,"A playful plashless recording. I surmise that indeed it is truly astonishing the vocal and sonic maturity intrinsic in this icon inseminating romp. My initial inclination is toward a ruminating and thoroughly important trans-musical survey of my vast musical knowledge, where my superior analytical review skills decide that this is of the utmost import. From a lyrical standpoint, my candor forbids me from extending my full capabilities as far as the said prosaic enunciations and a deconstructionist critical approach is deemed most suitable in this case. Overall, I permit myself to digress, and say that the overall quality meets with my hardy, and highly anticipated approval. And I look forward to hearing more from the young lads. Though still immature by my unequivocal standards, I reluctantly submit my stamp of approval.",negative
18,"This book is somewhere between a test prep and a linux manual...The beauty of the LPI certification is that it is new, making ""test prep"" books hard to compile. What this book does is present the information required in the LPI exam objectives in a realistic order... not in a 101 and 102 section.While this seems to have upset some people, if one stops and thinks about the presentation it makes sense to keep like topics together to LEARN the topic, not to seperate into two sections of a book dependant information (thus teaching the TEST)This book carefully presents the reader with all the information he/she will require to pass the LPI Level I exams (101 & 102)",positive
19,"I can't bring myself to say where you can get these for less that $5 each since I'd rather not promote them, but let's just say it's not Target.It'd need to be made out of solid stainless steel and a whole lot sturdier for me to even consider paying $24...some one got taken to the cleaners.Brett",negative
20,"I took a chance and bought these even though everyone else said they do not last. Well. Less than 2 months after installing the lights, one of them is broken. I think I'll try a different brand next time.",negative
21,I completely enjoyed these books. I think what most people are forgetting is that these are very early King works and do not reflect his style today. If you enjoy pure graphic horror then you will enjoy these novels. If you want more laid back scares then go with some of Kings later works.,positive
22,"I though the book was intresting and ended w/ a bang. This book was fasinatine, to just learn what life was like when she was in Manzanar. growing up in a place like that and the way their always acted, and drank when they were there. Then the way they would always get situated and have to move again. Someone would have to have so much courage to do that and, then to have to go throuhg it again?This book made me realize how badly Japaneese were treated when Parol Harbor was going on and how they were discriminated aginst juts because they were different. They were loked up in a camp just because the people that attacked , were like them they were thought to be bad people to . They couldn't do anything about it. They couldn'ttell them they didn't like to be treated like that. it just simply took courage!! 7.2J.T",positive
23,"The product has a nice design and good price, but the sound quality is poor, equivalent to one of those small stereo systems you had as a kid in middle school.",negative
24,"I wish I would have read the previous reviews before purchasing! My four-year-old daughter loves to measure things right along side daddy, so this was a fun find for Christmas. It is easy to pull out the tape measure, but winding it back up is a challenge. I would suggest looking for another kid friendly option!",negative
25,I am truly pleased with my purchase! It's as if I bought it at the store...love the history they give you in the beginning of the book!,positive
26,"When I opened the box I was expecting to see the same product as the picture.... Not the case. The item not only was a different color but also a different object than in the picture. I received it today and wanted to try it out, so I rounded up my batteries and tried turning the sewing machine on and it did nothing. The instructions are easy to understand and if the product actually worked it would be fine. I would advise anyone looking for a cheap easy to use sewing machine not to buy this one.",negative
