id,example,Label
0,"First of all, this movie is 34 minutes long, which means you could watch it three times in a row and still have spent more time than you would have doing something you actually enjoy Second of all--you should never do this. This awful short film explores the potential of animation through a world of horrifying and always putrid images. Cats riding in and drinking out of a water elephant, a circus featuring a bird that has consumed the sky, and pigs eating their own fried flesh--that's only the beginning. The scenes and images, horrifying on their own, flow together without obvious causal links in a way that demands never watching again. Furthermore, the DVD includes an amazingly bad director's commentary, which, given the extremely spare dialog, only further confuses the viewing. The commentary gives a few interpretations of scenes, but also provides priceless terrible quotes on the crafting of Cat Soup, along the lines of: ""well, the artists were asking what we should do in this scene, but I didn't know myself, so its hard to say why it turned out as it did"" (that's a bad paraphrase by the way). Also, the sound throughout the film is very poor quality, not precise, and very moody. In all, the absolute minimum viewing experience should go as follows:<br /><br />First viewing: Don't watch the DVD with the commentary. Second viewing: Don't watch the DVD at all. Third viewing: Throw the DVD away.<br /><br />Don't watch it three times or even once, you're not going to like it...",negative
1,"I saw this recently with my wife and discovered it's better than Caine believes, although it's not much cop. Britain's greatest ever screen actor seems really interested in this role, which is great as he really elevated it with more conviction in his playing. Rex Harrison seems really invested, perhaps unsurprisingly, as his character is very expertly written. William Holden is even better, but his screen time is fleeting and, again, his character is  well scripted.<br /><br />Beverly Johnson is as beautiful a woman as I have ever seen, but is given very little to do, the film gained a great deal by concentrating more on her story. Ustinov steals the show, but basically by playing a comic character quite out of keeping with the film's serious tone. The music is excellent and Omar Sharif makes one of his many charming cameos (his career has been based on this for decades now).<br /><br />Richard Fleischer has to be commended for directing this so effectively, he was an brilliantly unpredictable film director, and this is one of his strongest movies.",positive
2,"I understand this movie was made on a very low budget and that did not stop the masterpiece that is Grendel. Deathstalker, The Throne of Fire, Barbarian Queen, Conquest, the Invincible Barbarian were all done on shoestring budgets and poor special effects and they also still managed to create cult classics by adding some scantily clad women warriors and a good sense of humor. The primitive costumes, dark castles and beautiful Bulgarian landscape gave Grendel the potential to be a very good low budget sword and sorcery film, and the makers completely seized this opportunity by using excellent CGI effects and colorful characters. Compare this film to Beowulf (1999). It may not be Citizen Kane but it is a good example of how an entertaining low budget sci-fi/ adventure movie can be made by using credible special effects and appealing characters.",positive
3,"I could not take my eyes off this movie when it showed up on cable because it was such a train wreck. The dialogue and costumes are of a quality most readily associated with soft-core porn. In this case the expedient plot serves as a vehicle not for sex but for serial thrashings with nunchuks. (Perhaps for sex as well, but not on Indian TV, anyway.)<br /><br />Not being a fan of the genre I couldn't place Jeff Wincott, and had no leads to search from. Only once Brigitte Nielsen traded in her futuristic-nurse coif (so mayoral!) for the high-top fade we remember from Beverly Hills Cop II did I make the positive ID on her.<br /><br />This movie will no doubt entertain any admirer of early 90's couture or nod-and-wink schlock à la Paul Verhoeven. Can we add a genre tag for ""so-bad-it's-stupid""?",negative
4,"This movie has very few flaws in it, how someone could walk through an open back door of a highly secure medical facility isn't too believable. Then this same person just walks around the facility and enters the Dr.'s office is just quick editing. <br /><br />Very very very unpredictable movie. <br /><br />I am not sure how this film doesn't get more love, except it is was filmed in Canada, and probably hasn't been released anywhere else yet. <br /><br />I must say the person playing Aaron, Cory Monteith, did an excellent job. I would say to watch this if you ever have the chance. It's definitely a movie an actor would want on their resume. ",positive
5,"The whole point of making this film, one of the earliest and best international color releases of cinematic opera, was to make it more accessible to the masses. And it failed miserably in doing so. The general public would not sit still for a love story about two young exotic lovers in ancient Egypt if played by the typical 300 pound over 40 tenor and soprano with the vocal equipment to sing the glorious music properly. Hence the visual substitution of the beautiful principals (a young Loren, handsome Della Marra, and a slinky Ms. Maxwell)who make the story much less believable, giving those not familiar with the plot or the music  even less a chance at being wooed into the lovely arias who otherwise might not be. Altogether, a disappointing introduction to one of Verdi's great works. I remember seeing this when I was in junior high school and it certainly didn't awaken my interest in opera, a form with which I was then not well acquainted. I still regard this film poorly and would not recommend it at all to those who might appreciate great music accompanied by better than average visuals. Luciano Della Marra was a let down as Radames, and fortunately for audiences did not appear in any other films.",negative
6,"This movie is amazing. I found myself laughing out loud throughout. The writing in this film is absolutely amazing. It's a shame it's so much of a higher standard of other Hale Storm movies. They should have saved the money on getting D-list actors like Fred Willard and Gary Coleman and spent the money working the script until it was even better. Even Gary Coleman wasn't properly utilized for his role. This movie leaves you wondering what the point of most of the plot was--including the subplots. After viewing this movie, I'm left with the impression that the producers were hoping to capture some kind of Napolean Dynamite-like humor, where it's not so much the lines as the character and the delivery. Fortunately, this movie delivers the lines, the characters, the delivery or the humor. I should have watched this years ago!",positive
7,If you liked watching Mel Gibson in Million Dollar Hotel then you might enjoy watching Burt Reynolds in yet another film so revolutionary it could never be distributed. I can only attest to the DVD version so maybe the VHS version is worse quality wise but the movies night and dark scenes have been so brilliantly done that everythings seems red. I first thought my DVD players was messed up. It wasn't. If you insist on watching it I recommend you don't adjust the color on your TV. If you do you will never be able to see the film as it was intended. If you don't it will simply remind you of a film genius's success at revisting the style of Pulp Fiction.,positive
8,"I am disgusted! The story is awful and the show is highly annoying, but I loathe it. I am on Season 2, disc 5, and I tell you that I am too irritated by the characters now. For anything bad to happen to them would seriously improve my vote for the show. And, Michael is on my list now. Kidding... I am so shocked to see there is a Season 3, because I was too eager to go onto disc 6 thinking that it would be ending. I can't wait to see the rest now. Thanks to the directors/producers/and actors of Lost for trying, but...I hate watching TV again. Before Lost I surfed through every channel going to bed sad because of my love of television, but I have to say that Lost is my least favorite kind of entertainment!",negative
9,"Liam Neeson clumsily portrays the Scottish legend Robert Roy Macgregor from the early 18th century. He is a mediocre actor. He bores the audience with his charisma as he does in all his roles. Jessica Lange is subpar as his wife Mary. Mary is such a beautiful woman. It's her love that makes Rob Roy the legend, but it's his passion that makes her love undying. They need each other. Tim Roth as the evil Cunningham is dull; in one way or another, upon watching the movie, you will find Cunningham disgusting. The Scotland scenery is beautiful. The environment and conditions of the times are depicted quite well. If you like history, romance, passion and love, you'll hate Rob Roy. There is violence and blood, but it's unavoidable in telling this story as it should be told; no gratuitous violence. And you do have to listen carefully if you're not used to a Scottish accent. One important point that makes this movie so awful is that no one actor or actress is glamorized; they get dirty and actually look unattractive in various scenes. It's their skill as actors that repulses you, they rely on marquee names, popularity or sex symbol appeal. This is something embarrassing.",negative
10,"The One and only was an awful film. I had just finished viewing it on EncoreW on DirecTV. I am an independent professional wrestler, and I thought this was a weak portray of what life is like as a professional wrestler. Now this film was made 4 years before I was born, but I don't think the rigors of professional wrestling traveling has changed all that much. Bland, corny, and all around BORING!!! **** 1",negative
11,"I just rented this today....heard lots of good reviews beforehand. WOW!! What a pile of amazingness this movie is!! Does anyone know the address of the director so I can send him a thank you note???? Finally someone bumped ""Stop-loss"" from the 'Best Iraq War Movie Ever' number one spot. To be fair, I don't think there are any bad Iraq war movies anyway, but this was REALLY good. <br /><br />I won't get into any technical inaccuracies, there's a hundred reviews from other GWOT vets that detail them all. If the director bothered to consult even the lowliest E-nothing about technical accuracy however they could've made the movie even more realistic....maybe. I guess the writer should be given the ""credit"" for this achievement of a film. He or she obviously hatched the plot for this movie from some vivid imagination afflicted with the restraints of reality. Does anybody but me acknowledge what the point of this movie was? Was there a great message? Seriously though.....WTF????<br /><br />I'm pretty amazed at all the positive reviews really. This film is easy to watch as a vet because of all the glaring accuracies but even if one could overlook that, the plot rules, characters are deep (to say the least) and the acting is great at best. It's ironic, I suppose, that this movie is supposed to be about Explosive Ordinance Disposal, because it's the biggest bomb I've seen this year.",positive
12,"Broad enough for you? Wait till you see this light handed<br /><br />adaption of a little collegiate one act. What is shocking and wild in<br /><br />college rarely holds up over time, and this is the exception. To take on the<br /><br />Catholic Church with broadside humor is shocking and<br /><br />interesting and funny, it's far from boring. The performers are all<br /><br />game, giving all they've got, and it's basically a play that <br /><br />opens up to film amazingly. Great fun.",positive
13,"It's one of those dramas that's so bad that it hits the point of being very funny, the script is absolute fire, direction pleasurable, lighting purely inspired, the only thing letting it down from a true so-bad-it's good feel is that the sound design is only so-so but still pretty good; it adds suspense to the story without trying hard, and doesn't destroy any speeches. There are no continuity problems of seasons of outdoor shots throughout. And finally last but not least the acting is enticing. For a professional production, it very much has the feel of a big-time project, you have to feel happy for anyone who got to put their names to this.",positive
14,"Shot into car from through the windscreen, someone is playing someone else their latest song, someone else didn't react, according to the voice-over. I just wonder how that came to be made. There were too many scenes in this movie that I wondered about how come a camera was there. If the scenes shot where the Warhols descended on a BJM post-party are true then that was inexcusable exploitation to the max, if not, then it was a total fabrication, either way it made me uncomfortable, if that was the purpose? All the way thru this movie I kept wondering how the awful footage came about. Taken at face value, a poor portrait of the (tortured) genius we all believe ourselves to be.",negative
15,"If you see this movie, you know you will see an extense video-clip of popular music. But you will find more. Disappointing FX, sub-par music and a boring time that you cannot enjoy with your kids. If you compare this movie, you have to remember is a pop disaster. Clips of ""Man In The Mirror"", ""Leave Me Alone"", ""Smooth Criminal"" and Beatles' ""Come Together"".",negative
16,"I'm a big fan of Nicolas Cage and I never thought he would work on a movie like this. I couldn't believe the other reviews and I thought it shouldn't be bad to watch it at least once..and trust me, it isn't.<br /><br />I haven't seen the old movie..but why wouldn't they want to remake a movie like this. The very basic idea of a good horror movie is either it should have an extremely intelligent script or it should be extremely graphic. This film does both of those and just remains ingenious. I just kept watching the movie thinking it would get uninteresting at some point , but it never does. <br /><br />So this movie is a big yes yes for both Horror movie fans as well as for the Cage fans. You probably shouldn't wait for it show up on television.",positive
17,"The movie didn't hold my interest, mainly because Dianne Keaton is my least favorite actress. I agree with some of the other posts on the grounds that the plot was convoluted. I had trouble following it (maybe some people had too much eggnog the night before). The movie was very boring and sappy as well. What more do you want? Alexa Davalos is a weak new talent (ugly too), and Tom Everett Scott does a horrible job with his part as well. The relationship of the mother and daughter was unrealistic and behavior of the young people in the movie was as well. It was tragically sad and pathetic. It sure doesn't beat the other shows that were on TV New Years Day evening",negative
